"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test case examines registering an account after placing an order works as intended or not","26415","PlaceOrderRegisterWhileCheckout","AutomationExercisesSuite","2025-09-22","broken","2025-09-22","Order_TestCases.PlaceOrderRegister","Order_TestCases","Order_TestCases.PlaceOrderRegister","PlaceOrderRegisterWhileCheckout"
"This test case verifies that the subscription works as intended in the cart page","3063","Subscription_CartPage","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Miscellaneous_TestCases.Misc_TestCases","Misc_TestCases","Miscellaneous_TestCases.Misc_TestCases","Subscription_CartPage"
"This test case examines whether an existing email triggers a warning or not","15305","ExistingEmailSignUp","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Authentication_TestCases.ExistingEmailSignUp","Authentication_TestCases","Authentication_TestCases.ExistingEmailSignUp","ExistingEmailSignUp"
"This test case examines placing an order after logging in works as intended or not","28717","PlaceOrderLogin","AutomationExercisesSuite","2025-09-22","broken","2025-09-22","Order_TestCases.PlaceOrderLogin","Order_TestCases","Order_TestCases.PlaceOrderLogin","PlaceOrderLogin"
"This test case examines whether an existing email triggers a warning or not","26531","ExistingEmailSignUp","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Authentication_TestCases.ExistingEmailSignUp","Authentication_TestCases","Authentication_TestCases.ExistingEmailSignUp","ExistingEmailSignUp"
"This test case examines placing an order after logging in works as intended or not","23609","PlaceOrderLogin","AutomationExercisesSuite","2025-09-22","broken","2025-09-22","Order_TestCases.PlaceOrderLogin","Order_TestCases","Order_TestCases.PlaceOrderLogin","PlaceOrderLogin"
"This test case tests whether the signup formData works as intended or not","29596","SignUpScenarios","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Authentication_TestCases.SignUp","Authentication_TestCases","Authentication_TestCases.SignUp","SignUpScenarios"
"This test case examines scrolling up using scroll up arrow","2066","ScrollingUpWithButton_TC","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","ScrollingHomePage_TestCases.ScrollingTestCases","Scrolling_TestCases","ScrollingHomePage_TestCases.ScrollingTestCases","ScrollingUpWithButton_TC"
"This test case verifies whether the search bar in the products page works as intended or not and all the products searched using this keyword appear","16174","SearchProducts","AutomationExercisesSuite","2025-09-22","broken","2025-09-22","Product_TestCases.SearchProduct","Product_TestCases","Product_TestCases.SearchProduct","SearchProducts"
"This test case examines downloading the invoice after making an order","12988","DownloadInvoice","AutomationExercisesSuite","2025-09-22","broken","2025-09-22","Order_TestCases.DownloadInvoice","Order_TestCases","Order_TestCases.DownloadInvoice","DownloadInvoice"
"This test case verifies that the product and product details page works as intended","7095","VerifyProductPage","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Product_TestCases.VerifyProductPage","Product_TestCases","Product_TestCases.VerifyProductPage","VerifyProductPage"
"This test case examines removing products from cart working as intended or not","10064","RemoveProductsFromCart","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Product_TestCases.RemoveProductsFromCart","Product_TestCases","Product_TestCases.RemoveProductsFromCart","RemoveProductsFromCart"
